ckpt_strat,zero_grad,forward,loss,backward,step,total,other
Attention,0.4326591998338699,32.77519645690918,2.040108799934387,86.92602615356445,42.412838745117185,164.58682861328126,2.4727672576904354
FFN,0.32733120024204254,32.431727981567384,2.0404000282287598,91.44291915893555,42.41005744934082,168.65243530273438,2.3677307128906264
Blockwise,0.3637567937374115,32.271206283569335,2.041104030609131,103.3498146057129,42.38891792297363,180.41479949951173,2.404860687255862
None,0.31790400147438047,32.625100708007814,2.0412288188934324,75.31491241455078,42.39518432617187,152.69432678222657,2.3591293334961136
